Category,CptNo,Range,Center,Latitude,Longitude,Species,Date,Quantity(kg)
cpt,NBD-75,Rajpipla,Rajpipla,21.85765,73.51975,Emblica officinalis - આમળા,2026-01-31,8.3
cpt,NBD-237,Rajpipla,Rajpipla,21.859735,73.518227,Emblica officinalis - આમળા,2026-01-31,8.5
cpt,NBD- 1586,Rajpipla,Rajpipla,21.822753,73.549897,Spondias pinnata - ખાટો અંબાડો,2026-01-31,19
cpt,NBD- 1585,Rajpipla,Rajpipla,21.822377,73.550238,Spondias pinnata - ખાટો અંબાડો,2026-01-31,11.8
cpt,NBD- 2,Rajpipla,Rajpipla,21.857834,73.519805,Acacia catechu - ખેર,2026-01-21,45
cpt,NBD- 154,Rajpipla,Rajpipla,21.585402,73.705351,Acacia catechu - ખેર,2026-01-30,2.4
cpt,NBD- 816,Rajpipla,Rajpipla,21.683191,73.694661,Dalbergia latifolia - સીસમ,2026-02-06,1.9
cpt,NBD-1600,Rajpipla,Rajpipla,21.731786,73.757782,"Eriolaena candollei - બોથી, ઝાડ ભીંડો",2026-02-06,0.6
cpt,NBD-629,Rajpipla,Rajpipla,21.654525,73.81586,Mallotus phillipinensis - કંપીલો,2026-02-06,7.2
cpt,NBD-1370,Rajpipla,Rajpipla,21.651952,73.84836,Radermachera xylocarpa - ખડસીંગ,2026-02-07,7.8
cpt,NBD-1398,Rajpipla,Rajpipla,21.719552,73.790675,Oroxylum indicum - ટેટુ,2026-02-07,8.6
cpt,NBD-1368,Rajpipla,Rajpipla,21.651911,73.849429,Oroxylum indicum - ટેટુ,2026-02-07,9.7
cpt,NBD-1598,Rajpipla,Rajpipla,21.732031,73.758582,Radermachera xylocarpa - ખડસીંગ,2026-02-07,14.4
cpt,NBD-626,Rajpipla,Rajpipla,21.652584,73.815932,Mallotus phillipinensis - કંપીલો,2026-02-07,8.4
cpt,NBD- 1,Rajpipla,Rajpipla,21.857993,73.519697,Terminalia chebula - હરડે,2026-02-07,13
cpt,NBD-1599,Rajpipla,Rajpipla,21.731735,73.758509,Radermachera xylocarpa - ખડસીંગ,2026-02-07,12.8
cpt,NBD-1597,Rajpipla,Rajpipla,21.731929,73.758677,Radermachera xylocarpa - ખડસીંગ,2026-02-06,18.8
cpt,NBD-1023,Rajpipla,Rajpipla,21.815792,73.564342,Petrocarpus marsupium - બીયો,2026-02-04,5.8
cpt,NBD- 1545,Rajpipla,Rajpipla,21.816162,73.560087,Dalbergia paniculata - પતરાલી,2026-02-04,1.1
cpt,NBD-1013,Rajpipla,Rajpipla,21.815839,73.564189,Dalbergia paniculata - પતરાલી,2026-02-04,1.6
cpt,NBD- 1018,Rajpipla,Rajpipla,21.807365,73.560257,Spondias pinnata - ખાટો અંબાડો,2026-02-04,7.2
cpt,NBD-1018,Rajpipla,Rajpipla,21.807365,73.560257,Spondias pinnata - ખાટો અંબાડો,2026-02-04,7.2
cpt,NBD- 1023,Rajpipla,Rajpipla,21.815792,73.564342,Spondias pinnata - ખાટો અંબાડો,2026-02-04,5.8
cpt,BCR-729,Rajpipla,Motiya,21.554464,73.510125,Stereospermum chelonoides - પાટલા,2026-02-06,5.5
cpt,BCR-717,Rajpipla,Motiya,21.553944,73.486949,Stereospermum chelonoides - પાટલા,2026-02-06,7.3
cpt,BCR-763,Rajpipla,Motiya,21.591926,73.421231,Acacia catechu - ખેર,2026-02-12,6
cpt,BCR-763,Rajpipla,Motiya,21.591926,73.421231,Holoptelia integrifolia - પલપલીયો,2026-02-12,6
cpt,NBD-1020,Rajpipla,Rajpipla,21.815571,73.564172,Dalbergia paniculata - પતરાલી,2026-02-12,1.4
cpt,NBD-1017,Rajpipla,Rajpipla,21.815054,73.563523,Petrocarpus marsupium - બીયો,2026-02-12,5.7
cpt,BCR-615,Rajpipla,Motiya,21.616389,73.423308,Bridelia retusa - આશન,2026-02-13,7
cpt,NBD- 1186,Rajpipla,Rajpipla,21.832521,73.697471,Anogeissus latifolia - ધાવડો,2026-02-13,5.1
cpt,NBD-1578,Rajpipla,Rajpipla,21.847111,73.691016,Cassia fistula - ગરમાળો,2026-02-13,24
cpt,NBD-1183,Rajpipla,Rajpipla,21.832489,73.697725,Anogeissus latifolia - ધાવડો,2026-02-13,4.2
cpt,NBD-1527,Rajpipla,Rajpipla,21.843829,73.697036,Schrebera swietenioides - મોખો,2026-02-13,3.2
cpt,BCR-338,Rajpipla,Motiya,21.611526,73.4156,Dalbergia latifolia - સીસમ,2026-02-13,8
cpt,BCR- 444,Rajpipla,Motiya,21.590698,73.41321,Petrocarpus marsupium - બીયો,2026-02-14,5.2
cpt,BCR- 688,Rajpipla,Motiya,21.757781,73.209893,Limonia acidissima - કોઠી,2026-02-14,5.6
cpt,BCR- 580,Rajpipla,Motiya,21.583126,73.413463,Bridelia retusa - આશન,2026-02-13,9.2
cpt,BCR-31,Rajpipla,Motiya,21.584904,73.406276,Terminalia bellarica - બહેડા,2026-02-16,8.2
cpt,BCR- 474,Rajpipla,Motiya,21.589454,73.411781,Petrocarpus marsupium - બીયો,2026-02-16,7
cpt,BCR- 678,Rajpipla,Motiya,21.59071,73.42338,Acacia polycantha - સફેદ ખેર,2026-02-16,11
cpt,BCR-649,Rajpipla,Motiya,21.58364,73.407361,Terminalia bellarica - બહેડા,2026-02-17,12
cpt,BCR-219,Rajpipla,Motiya,21.582652,73.414257,Dalbergia paniculata - પતરાલી,2026-02-17,7.5
cpt,BCR-544,Rajpipla,Motiya,21.582898,73.418121,Anogeissus latifolia - ધાવડો,2026-02-17,7.9
cpt,BCR-466,Rajpipla,Motiya,21.61102,73.420886,Stereospermum chelonoides - પાટલા,2026-02-19,13.8
cpt,BCR- 344,Rajpipla,Motiya,21.610161,73.423681,Diospyros melanoxylon - ટીમરૂ,2026-02-19,9
cpt,BCR-303,Rajpipla,Motiya,21.580558,73.410065,Acacia catechu - ખેર,2026-02-21,19.4
cpt,BCR-647,Rajpipla,Motiya,21.583994,73.406631,Dalbergia latifolia - સીસમ,2026-02-21,10.6
cpt,BCR-195,Rajpipla,Motiya,21.584352,73.418237,Petrocarpus marsupium - બીયો,2026-02-21,5.2
cpt,BCR- 696,Rajpipla,Motiya,21.582704,73.42109,Radermachera xylocarpa - ખડસીંગ,2026-02-21,3.5
cpt,NBD-511,Rajpipla,Rajpipla,21.662057,73.563823,Stereospermum chelonoides - પાટલા,2026-01-30,7.2
cpt,NBD-1495,Rajpipla,Motiya,21.726505,73.676614,Kydia calycina - વારીંગ,2026-02-27,5.4
cpt,NBD-236,Rajpipla,Rajpipla,21.860113,73.518593,Emblica officinalis - આમળા,2026-01-31,7
cpt,NBD-164,Rajpipla,Rajpipla,21.59616,73.715589,Dalbergia latifolia - સીસમ,2026-01-30,1.8
cpt,NBD-1609,Rajpipla,Rajpipla,21.730987,73.756351,Radermachera xylocarpa - ખડસીંગ,2026-02-06,13.2
cpt,NBD-1374,Rajpipla,Rajpipla,21.652785,73.814813,Kydia calycina - વારીંગ,2026-02-27,1.3
cpt,NBD-1379,Rajpipla,Rajpipla,21.653094,73.814983,Bauhinia foveolata - ચામોલી,2026-02-27,5.4
cpt,NBD-1362,Rajpipla,Rajpipla,21.655363,73.862302,Terminalia chebula - હરડે,2026-02-27,17
cpt,NBD-1361,Rajpipla,Rajpipla,21.65531,73.8622,Terminalia chebula - હરડે,2026-02-27,22.1
cpt,NBD-1250,Rajpipla,Rajpipla,21.656741,73.563365,Bridelia retusa - આશન,2026-02-27,2.3
cpt,NBD-1065,Rajpipla,Rajpipla,21.657843,73.564249,Bauhinia foveolata - ચામોલી,2026-02-27,5.5
cpt,NBD-1033,Rajpipla,Rajpipla,21.657741,73.564156,Terminalia bellarica - બહેડા,2026-02-28,22
cpt,NBD-580,Rajpipla,Rajpipla,21.656908,73.563483,Bauhinia foveolata - ચામોલી,2026-02-25,7.1
cpt,NBD-1064,Rajpipla,Rajpipla,21.65762,73.564826,Terminalia tomentosa - દેશી સાદડ,2026-03-02,9.3
cpt,NBD-512,Rajpipla,Rajpipla,21.658008,73.563175,Terminalia tomentosa - દેશી સાદડ,2026-02-27,6.5
cpt,NBD-1053,Rajpipla,Rajpipla,21.664386,73.558605,Terminalia tomentosa - દેશી સાદડ,2026-02-27,7.2
cpt,NBD-1068,Rajpipla,Rajpipla,21.663846,73.560162,Albizia odoratissima - કાળો સીરસ,2026-02-27,2
cpt,NBD- 119,Rajpipla,Rajpipla,21.732071,73.477496,Terminalia arjuna - અર્જુન સાદડ,2026-02-27,9.3
cpt,NBD-116,Rajpipla,Rajpipla,21.732344,73.477108,Terminalia arjuna - અર્જુન સાદડ,2026-02-27,8
cpt,NBD-115,Rajpipla,Rajpipla,21.732642,73.477023,Terminalia arjuna - અર્જુન સાદડ,2026-02-27,8.5
cpt,NBD-76,Rajpipla,Rajpipla,21.857655,73.519839,Emblica officinalis - આમળા,2026-01-31,7
cpt,NBD-238,Rajpipla,Rajpipla,21.859598,73.518457,Emblica officinalis - આમળા,2026-01-31,9.2
cpt,NBD-1023,Rajpipla,Rajpipla,21.815792,73.564342,Petrocarpus marsupium - બીયો,2026-02-04,5.8
cpt,NBD-10,Rajpipla,Rajpipla,21.860785,73.520052,Terminalia bellarica - બહેડા,2026-02-28,22
cpt,NBD-1071,Rajpipla,Rajpipla,21.657971,73.564298,Terminalia tomentosa - દેશી સાદડ,2026-02-27,8.5
cpt,NBD-1283,Rajpipla,Rajpipla,21.880372,73.70395,Terminalia arjuna - અર્જુન સાદડ,2026-02-26,10.3
cpt,NBD-513,Rajpipla,Rajpipla,21.657765,73.56307,Terminalia tomentosa - દેશી સાદડ,2026-02-27,8.5
cpt,NBD-121,Rajpipla,Rajpipla,21.734448,73.477465,Terminalia arjuna - અર્જુન સાદડ,2026-02-27,9
cpt,NBD-118,Rajpipla,Rajpipla,21.732918,73.477161,Terminalia arjuna - અર્જુન સાદડ,2026-02-27,8
cpt,NBD-11,Rajpipla,Rajpipla,21.860481,73.51936,Terminalia bellarica - બહેડા,2026-02-28,20
cpt,NBD-1282,Rajpipla,Rajpipla,21.880661,73.704409,Terminalia arjuna - અર્જુન સાદડ,2026-02-26,10.7
cpt,NBD-1284,Rajpipla,Rajpipla,21.88021,73.703487,Terminalia arjuna - અર્જુન સાદડ,2026-02-26,10.2
cpt,NBD-2,Rajpipla,Rajpipla,21.857804,73.519827,Terminalia chebula - હરડે,2026-01-21,11
cpt,NBD-851,Rajpipla,Rajpipla,21.605518,73.636485,Albizia procera - કિલાઈ,2026-03-16,3.2
cpt,715,Rajpipla,Rajpipla,21.615047,73.630561,Cassia fistula - ગરમાળો,2026-03-16,15.4
cpt,GJ NBD-14,Rajpipla,Rajpipla,21.86039,73.5189,Acacia catechu - ખેર,2026-03-11,4
cpt,GJ NBD-1348,Rajpipla,Rajpipla,21.848329,73.687396,"Dolichandron falcata - મટરસીંગ, મેઢસીંગ",2026-03-13,18
cpt,GJ NBD-700,Rajpipla,Rajpipla,21.61525,73.630285,Albizia procera - કિલાઈ,2026-03-16,2.6
cpt,GJ NBD- 56,Rajpipla,Rajpipla,21.860074,73.518582,Acacia catechu - ખેર,2026-03-11,3.8
cpt,GJ NBD-55,Rajpipla,Rajpipla,21.860325,73.519019,Acacia catechu - ખેર,2026-03-11,6.4
cpt,GJ NBD-52,Rajpipla,Rajpipla,21.860206,73.519245,Acacia catechu - ખેર,2026-03-11,4.1
cpt,GJ NBD-1347,Rajpipla,Rajpipla,21.848605,73.688382,"Dolichandron falcata - મટરસીંગ, મેઢસીંગ",2026-03-13,20.5
cpt,GJ NBD-548,Rajpipla,Rajpipla,21.615047,73.628982,Albizia procera - કિલાઈ,2026-03-16,2.8
cpt,GJ NBD-15,Rajpipla,Rajpipla,21.860437,73.518785,Acacia catechu - ખેર,2026-03-11,4.5
cpt,GJ NBD- 677,Rajpipla,Rajpipla,21.857623,73.518704,"Wrightia arborea - દૂધલો, કૂડો",2026-03-05,10
cpt,GJ NBD-1029,Rajpipla,Rajpipla,21.664462,73.560592,Mallotus phillipinensis - કંપીલો,2026-03-06,9.9
cpt,GJ NBD-1028,Rajpipla,Rajpipla,21.664328,73.560478,Mallotus phillipinensis - કંપીલો,2026-03-06,6.1
cpt,GJ NBD-124,Rajpipla,Rajpipla,21.860218,73.518591,Sapindus emarginatus - અરીઠી,2026-03-20,14.9
cpt,GJ NBD-123,Rajpipla,Rajpipla,21.860076,73.518808,Sapindus emarginatus - અરીઠી,2026-03-20,12.1
cpt,GJ NBD-122,Rajpipla,Rajpipla,21.858305,73.519627,Sapindus emarginatus - અરીઠી,2026-03-20,12.5
cpt,Gj Nbd- 431,Rajpipla,Rajpipla,21.85912,73.516316,Holoptelia integrifolia - પલપલીયો,2026-03-23,6.1
cpt,Gj nbd- 432,Rajpipla,Rajpipla,21.866842,73.510279,Holoptelia integrifolia - પલપલીયો,2026-03-23,6.5
cpt,NBD-1079,Rajpipla,Rajpipla,21.661618,73.562892,Stereospermum chelonoides - પાટલા,2026-01-31,4.7
cpt,BCR-125,Rajpipla,Motiya,21.590602,73.418765,Oroxylum indicum - ટેટુ,2026-02-05,8
cpt,BCR-600,Rajpipla,Motiya,21.582413,73.408255,Terminalia arjuna - અર્જુન સાદડ,2026-03-12,13
cpt,BCR-648,Rajpipla,Motiya,21.584483,73.406954,Terminalia arjuna - અર્જુન સાદડ,2026-03-12,14.5
cpt,BCR-683,Rajpipla,Motiya,21.581672,73.42657,Haldina cordifolia - હલ્દુ,2026-03-04,1.5
cpt,NBD- 1036,Rajpipla,Motiya,21.660003,73.563867,Haldina cordifolia - હલ્દુ,2026-01-30,5.1
cpt,GJPMS-933,Rajpipla,Rajpipla,22.45699,73.633047,Anogeissus latifolia - ધાવડો,2026-03-30,0.4
cpt,679,Rajpipla,Rajpipla,21.857874,73.518219,Adansonia digitata - રૂખડો,2026-04-08,11
cpt,Gj nbd -1272,Rajpipla,Rajpipla,21.809222,73.70754,Annona squamosa - સીતાફળ,2026-04-15,17
cpt,Gj nbd- 1273,Rajpipla,Rajpipla,21.809203,73.702139,Annona squamosa - સીતાફળ,2026-04-15,24
cpt,Gj nbd-1276,Rajpipla,Rajpipla,21.808968,73.702201,Annona squamosa - સીતાફળ,2026-04-15,35
cpt,Gj nbd-1278,Rajpipla,Rajpipla,21.80893,73.702154,Annona squamosa - સીતાફળ,2026-04-15,23
cpt,Gj nbd-1277,Rajpipla,Rajpipla,21.808903,73.702108,Annona squamosa - સીતાફળ,2026-04-15,18
cpt,Gj nbd-1280,Rajpipla,Rajpipla,21.808727,73.701758,Annona squamosa - સીતાફળ,2026-04-15,20
cpt,Gj nbd-1350,Rajpipla,Rajpipla,21.807062,73.701443,Annona squamosa - સીતાફળ,2026-04-15,14
cpt,Gj nbd-1353,Rajpipla,Rajpipla,21.807107,73.701198,Annona squamosa - સીતાફળ,2026-04-15,25
cpt,Gj nbd-1543,Rajpipla,Rajpipla,21.82932,73.695625,Diospyros melanoxylon - ટીમરૂ,2026-04-15,11
cpt,Gj nbd-836,Rajpipla,Rajpipla,21.858366,73.524385,Tecomella undulata - રગત રોહિડો,2026-04-13,1.1
cpt,Gj nbd-143,Rajpipla,Rajpipla,21.856499,73.518936,Tecomella undulata - રગત રોહિડો,2026-04-10,1.3
cpt,Gj nbd-145,Rajpipla,Rajpipla,21.856554,73.517936,Tecomella undulata - રગત રોહિડો,2026-04-10,1.6
cpt,Gj-nbd-666,Rajpipla,Rajpipla,21.862031,73.513499,Gmelina arborea - સેવન,2026-04-04,14.1
cpt,BCR-768,Rajpipla,Motiya,21.728215,73.195397,Bridelia squamosa - એકલકાંટો,2026-01-24,8
cpt,Gj nbd-536,Rajpipla,Rajpipla,21.862656,73.512459,Gmelina arborea - સેવન,2026-04-04,13.2
cpt,Gj nbd-1561,Rajpipla,Rajpipla,22.02937,73.614337,Buchanania lanzan - ચારોલી,2026-04-14,2.8
cpt,Gj nbd-1564,Rajpipla,Rajpipla,22.029378,73.613835,Buchanania lanzan - ચારોલી,2026-04-14,2.1
cpt,Gj nbd-1562,Rajpipla,Rajpipla,22.029045,73.613514,Buchanania lanzan - ચારોલી,2026-04-14,2.4
cpt,Gj nbd-1565,Rajpipla,Rajpipla,22.0297,73.614565,Buchanania lanzan - ચારોલી,2026-04-14,3.2
cpt,Gj nbd-1568,Rajpipla,Rajpipla,22.029868,73.61458,Buchanania lanzan - ચારોલી,2026-04-14,1.5
cpt,Gj nbd-1041,Rajpipla,Rajpipla,21.659428,73.563465,Pongamia pinnata - કરંજ,2026-04-20,12.8
cpt,Gj nbd-1042,Rajpipla,Rajpipla,21.659028,73.563325,Pongamia pinnata - કરંજ,2026-04-20,14.5
cpt,Gj nbd-542,Rajpipla,Rajpipla,21.630644,73.581078,Terminalia arjuna - અર્જુન સાદડ,2026-04-20,6
cpt,Gj nbd-464,Rajpipla,Rajpipla,21.683862,73.689987,Haldina cordifolia - હલ્દુ,2026-04-20,1.2
cpt,Gj nbd-465,Rajpipla,Rajpipla,21.684056,73.690004,Haldina cordifolia - હલ્દુ,2026-04-20,1.1
cpt,Gj nbd-462,Rajpipla,Rajpipla,21.684048,73.69003,Haldina cordifolia - હલ્દુ,2026-04-20,2.5
cpt,Gj nbd-1611,Rajpipla,Rajpipla,21.672056,73.79317,Ficus exasperrata - કરવતી,2026-04-20,1
cpt,Gj nbd-463,Rajpipla,Rajpipla,21.683981,73.690438,Haldina cordifolia - હલ્દુ,2026-04-20,1.2
cpt,Gj nbd-631,Rajpipla,Rajpipla,21.653238,73.815042,Bauhinia purpurea - સફેદ કંચનાર,2026-04-20,3.2
cpt,Gj nbd-634,Rajpipla,Rajpipla,21.653184,73.813843,Bauhinia purpurea - સફેદ કંચનાર,2026-04-20,3
cpt,Gj nbd-1235,Rajpipla,Rajpipla,21.647816,73.819128,Bauhinia purpurea - સફેદ કંચનાર,2026-04-20,3.8
cpt,Gj nbd-635,Rajpipla,Rajpipla,21.647623,73.819348,Bauhinia purpurea - સફેદ કંચનાર,2026-04-20,3.5
cpt,Gj nbd-213,Rajpipla,Rajpipla,21.657961,73.825399,Mitragyna parvifolia - કલમ,2026-04-20,0.7
cpt,Gj nbd-212,Rajpipla,Rajpipla,21.658071,73.825558,Mitragyna parvifolia - કલમ,2026-04-20,0.8
cpt,Gj nbd-214,Rajpipla,Rajpipla,21.658166,73.825826,Mitragyna parvifolia - કલમ,2026-04-20,0.5
cpt,Gj nbd-942,Rajpipla,Rajpipla,21.787523,73.497039,Erythrina Suberosa - ઝાંગરીયો ખાખરો,2026-04-20,10
cpt,Gj nbd 1036,Rajpipla,Rajpipla,21.660003,73.563867,Erythrina Suberosa - ઝાંગરીયો ખાખરો,2026-01-30,5
cpt,Gj nbd 1048,Rajpipla,Rajpipla,21.657763,73.563939,Erythrina Suberosa - ઝાંગરીયો ખાખરો,2026-01-30,6.5
cpt,Gj nbd-156,Rajpipla,Rajpipla,21.58574,73.705378,Dalbergia latifolia - સીસમ,2026-01-30,2.6
cpt,Gj nbd -154,Rajpipla,Rajpipla,21.585402,73.705351,Dalbergia latifolia - સીસમ,2026-01-30,2.5
cpt,Gj nbd-156,Rajpipla,Rajpipla,21.58574,73.705378,Dalbergia latifolia - સીસમ,2026-01-30,2.6
cpt,Gj nbd-163,Rajpipla,Rajpipla,21.58575,73.704367,Dalbergia latifolia - સીસમ,2026-01-30,1.8
cpt,Gj nbd-158,Rajpipla,Rajpipla,21.586376,73.706124,Dalbergia latifolia - સીસમ,2026-01-30,2.9
cpt,Gj nbd-1608,Rajpipla,Rajpipla,21.73045,73.755861,Dalbergia latifolia - સીસમ,2026-02-06,15
cpt,Gj nbd-8,Rajpipla,Rajpipla,21.860752,73.5199,Terminalia bellarica - બહેડા,2026-03-20,15.8
cpt,Gj nbd-9,Rajpipla,Rajpipla,21.860711,73.519932,Terminalia bellarica - બહેડા,2026-03-20,20.3
cpt,Gj nbd-6,Rajpipla,Rajpipla,21.860659,73.520239,Terminalia bellarica - બહેડા,2026-03-20,18.7
cpt,Gj nbd-7,Rajpipla,Rajpipla,21.860648,73.520104,Terminalia bellarica - બહેડા,2026-03-20,19.2
cpt,Gj nbd-1584,Rajpipla,Rajpipla,21.816872,73.565768,Heterophragma quadriculare - વરસ,2026-04-24,1.2
cpt,Gj nbd-1551,Rajpipla,Rajpipla,21.815353,73.565786,Heterophragma quadriculare - વરસ,2026-04-24,1.6
cpt,Gj nbd-1592,Rajpipla,Rajpipla,21.799353,73.554798,Boswellia serrata - સલાઈ ગુગળ,2026-04-24,1.3
cpt,Gj nbd-912,Rajpipla,Rajpipla,21.79943,73.555504,Acacia catechu - ખેર,2026-04-24,1.9
cpt,Gj nbd-931,Rajpipla,Rajpipla,21.773728,73.496966,Lannea coromandelica - મોદળ,2026-04-29,4
cpt,540,Rajpipla,Shivrajpur,22.429636,73.595254,Aegle marmelos - બીલી,2026-04-30,1.5
cpt,Gj nbd-126,Rajpipla,Rajpipla,21.858537,73.517199,Sapindus trifoliatus - અરીઠા,2026-05-04,14.2
cpt,Gj nbd-659,Rajpipla,Rajpipla,21.837665,73.697223,"Cochlospermum religiousum - ગલગલ, ગનેરી",2026-05-02,0.5
cpt,Gj nbd-1540,Rajpipla,Rajpipla,21.833114,73.696842,"Cochlospermum religiousum - ગલગલ, ગનેરી",2026-05-02,0.8
cpt,Gj nbd-1541,Rajpipla,Rajpipla,21.833187,73.696905,"Cochlospermum religiousum - ગલગલ, ગનેરી",2026-05-02,0.75
cpt,Gj nbd-830,Rajpipla,Rajpipla,21.840274,73.69725,Lannea coromandelica - મોદળ,2026-05-02,3
cpt,Gj nbd-1405,Rajpipla,Rajpipla,21.841836,73.696431,Cassine albens - ભુટાકો,2026-05-02,1.2
cpt,Gj nbd-1553,Rajpipla,Rajpipla,21.816054,73.565099,Aegle marmelos - બીલી,2026-04-24,11.4
